match_id,match_date,tournament_year,stage,home_team,away_team,predicted_result,actual_result,predicted_score,actual_score,confidence_score,upset_probability,market_favorite,model_favorite,is_conflict_match,odds_home,odds_draw,odds_away,handicap,predicted_handicap_result,actual_handicap_result,result_hit,score_hit,handicap_hit,roi,profit,time_safe_valid,time_safe_note
321,2022-11-20T19:00:00,2022,Matchday 1,Qatar,Ecuador,Draw,Away Win,1-1,0-2,31.05,65.45,Away Win,Away Win,False,3.7,3.11,2.27,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
327,2022-11-21T16:00:00,2022,Matchday 2,England,Iran,Home Win,Home Win,1-0,6-2,50.7,49.3,Home Win,Home Win,False,1.37,4.78,10.46,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
322,2022-11-21T19:00:00,2022,Matchday 2,Senegal,Netherlands,Away Win,Away Win,0-2,0-2,50.85,49.15,Away Win,Away Win,False,6.34,3.72,1.65,,,,True,True,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
328,2022-11-21T22:00:00,2022,Matchday 2,USA,Wales,Draw,Draw,0-0,1-1,34.48,68.73,Home Win,Draw,True,2.49,3.12,3.22,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
333,2022-11-22T13:00:00,2022,Matchday 3,Argentina,Saudi Arabia,Home Win,Away Win,2-1,1-2,59.64,40.36,Home Win,Home Win,False,1.12,9.95,28.62,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
339,2022-11-22T16:00:00,2022,Matchday 3,Denmark,Tunisia,Home Win,Draw,2-0,0-0,46.52,53.48,Home Win,Home Win,False,1.57,3.99,6.8,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
334,2022-11-22T19:00:00,2022,Matchday 3,Mexico,Poland,Home Win,Draw,2-0,0-0,36.13,63.87,Home Win,Home Win,False,2.48,3.14,3.21,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
340,2022-11-22T22:00:00,2022,Matchday 3,France,Australia,Home Win,Home Win,2-1,4-1,58.62,41.38,Home Win,Home Win,False,1.22,7.28,13.56,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
351,2022-11-23T13:00:00,2022,Matchday 4,Morocco,Croatia,Away Win,Draw,0-2,0-0,43.9,56.1,Away Win,Away Win,False,3.73,3.28,2.19,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
345,2022-11-23T16:00:00,2022,Matchday 4,Germany,Japan,Home Win,Away Win,2-1,1-2,54.55,45.45,Home Win,Home Win,False,1.43,4.93,7.53,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
346,2022-11-23T19:00:00,2022,Matchday 4,Spain,Costa Rica,Home Win,Home Win,2-0,7-0,46.83,53.17,Home Win,Home Win,False,1.16,8.97,17.57,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
352,2022-11-23T22:00:00,2022,Matchday 4,Belgium,Canada,Home Win,Home Win,1-0,1-0,52.79,47.21,Home Win,Home Win,False,1.59,4.13,6.1,,,,True,True,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
357,2022-11-24T13:00:00,2022,Matchday 5,Switzerland,Cameroon,Home Win,Home Win,2-0,1-0,45.17,54.83,Home Win,Home Win,False,1.82,3.46,5.08,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
363,2022-11-24T16:00:00,2022,Matchday 5,Uruguay,South Korea,Home Win,Draw,2-1,0-0,47.43,52.57,Home Win,Home Win,False,1.79,3.56,5.21,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
364,2022-11-24T19:00:00,2022,Matchday 5,Portugal,Ghana,Home Win,Home Win,2-1,3-2,45.01,54.99,Home Win,Home Win,False,1.32,5.68,10.18,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
358,2022-11-24T22:00:00,2022,Matchday 5,Brazil,Serbia,Home Win,Home Win,2-0,2-0,54.58,45.42,Home Win,Home Win,False,1.46,4.59,7.69,,,,True,True,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
329,2022-11-25T13:00:00,2022,Matchday 6,Wales,Iran,Draw,Away Win,0-0,0-2,32.94,58.96,Home Win,Home Win,False,2.09,3.22,4.14,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
323,2022-11-25T16:00:00,2022,Matchday 6,Qatar,Senegal,Away Win,Away Win,0-1,1-3,45.04,54.96,Away Win,Away Win,False,5.56,3.62,1.73,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
324,2022-11-25T19:00:00,2022,Matchday 6,Netherlands,Ecuador,Home Win,Draw,1-0,1-1,53.28,46.72,Home Win,Home Win,False,1.83,3.44,5.11,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
330,2022-11-25T22:00:00,2022,Matchday 6,England,USA,Home Win,Draw,1-0,0-0,46.48,53.52,Home Win,Home Win,False,1.46,4.31,8.38,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
341,2022-11-26T13:00:00,2022,Matchday 7,Tunisia,Australia,Home Win,Away Win,2-1,0-1,37.48,62.52,Home Win,Home Win,False,2.2,3.39,3.53,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
335,2022-11-26T16:00:00,2022,Matchday 7,Poland,Saudi Arabia,Home Win,Home Win,2-1,2-0,46.87,53.13,Home Win,Home Win,False,1.73,3.71,5.41,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
342,2022-11-26T19:00:00,2022,Matchday 7,France,Denmark,Home Win,Home Win,2-1,2-1,48.18,51.82,Home Win,Home Win,False,1.79,3.65,5.06,,,,True,True,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
336,2022-11-26T22:00:00,2022,Matchday 7,Argentina,Mexico,Home Win,Home Win,2-0,2-0,44.74,55.26,Home Win,Home Win,False,1.54,4.02,7.4,,,,True,True,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
347,2022-11-27T13:00:00,2022,Matchday 8,Japan,Costa Rica,Draw,Away Win,1-1,0-1,30.19,62.47,Home Win,Home Win,False,1.48,4.37,7.7,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
353,2022-11-27T16:00:00,2022,Matchday 8,Belgium,Morocco,Home Win,Away Win,1-0,0-2,47.26,52.74,Home Win,Home Win,False,1.88,3.53,4.62,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
354,2022-11-27T19:00:00,2022,Matchday 8,Croatia,Canada,Home Win,Home Win,1-0,4-1,48.2,51.8,Home Win,Home Win,False,2.17,3.28,3.76,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
348,2022-11-27T22:00:00,2022,Matchday 8,Spain,Germany,Away Win,Draw,1-3,1-1,37.57,67.54,Home Win,Away Win,True,2.55,3.47,2.84,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
359,2022-11-28T13:00:00,2022,Matchday 9,Cameroon,Serbia,Draw,Draw,0-0,3-3,30.93,59.66,Away Win,Away Win,False,5.41,3.84,1.71,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
365,2022-11-28T16:00:00,2022,Matchday 9,South Korea,Ghana,Away Win,Away Win,1-2,2-3,39.04,66.54,Home Win,Away Win,True,2.8,3.12,2.82,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
360,2022-11-28T19:00:00,2022,Matchday 9,Brazil,Switzerland,Home Win,Home Win,3-1,1-0,51.83,48.17,Home Win,Home Win,False,1.49,4.26,7.93,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
366,2022-11-28T22:00:00,2022,Matchday 9,Portugal,Uruguay,Draw,Home Win,1-1,2-0,30.44,63.32,Home Win,Home Win,False,1.94,3.37,4.58,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
325,2022-11-29T18:00:00,2022,Matchday 10,Ecuador,Senegal,Away Win,Away Win,0-1,1-2,36.28,65.17,Home Win,Away Win,True,2.46,3.08,3.31,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
326,2022-11-29T18:00:00,2022,Matchday 10,Netherlands,Qatar,Home Win,Home Win,3-0,2-0,63.01,36.99,Home Win,Home Win,False,1.2,7.32,15.08,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
331,2022-11-29T22:00:00,2022,Matchday 10,Wales,England,Away Win,Away Win,0-1,0-3,45.42,54.58,Away Win,Away Win,False,9.23,4.44,1.43,,,,True,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
332,2022-11-29T22:00:00,2022,Matchday 10,Iran,USA,Draw,Away Win,1-1,0-1,31.6,61.34,Away Win,Away Win,False,4.17,3.49,1.99,,,,False,False,,,,False,odds captured after kickoff; ROI/market audit should be treated as invalid
