section,conflict_matches,model_wins,market_wins,model_win_rate,market_win_rate,stage,bucket,team,conflict_model_win_rate,conflict_market_win_rate,best_stage_for_model,best_confidence_bucket_for_conflict,best_upset_bucket_for_conflict,elite_overvaluation_exists,elite_overvaluation_matches,elite_overvaluation_model_win_rate,elite_overvaluation_market_win_rate,conflict_pool_recommendation
summary,15,9,2,60.0,13.33,,,,,,,,,,,,,
stage_analysis,11,8,1,72.73,9.09,Group Stage,,,,,,,,,,,,
stage_analysis,1,1,0,100.0,0.0,Round of 16,,,,,,,,,,,,
stage_analysis,1,0,0,0.0,0.0,Quarter-finals,,,,,,,,,,,,
stage_analysis,1,0,1,0.0,100.0,Third-place match,,,,,,,,,,,,
stage_analysis,1,0,0,0.0,0.0,Final,,,,,,,,,,,,
upset_analysis,0,0,0,0.0,0.0,,0-20,,,,,,,,,,,
upset_analysis,0,0,0,0.0,0.0,,20-40,,,,,,,,,,,
upset_analysis,0,0,0,0.0,0.0,,40-50,,,,,,,,,,,
upset_analysis,0,0,0,0.0,0.0,,50-60,,,,,,,,,,,
upset_analysis,14,9,2,64.29,14.29,,60-70,,,,,,,,,,,
upset_analysis,1,0,0,0.0,0.0,,70+,,,,,,,,,,,
confidence_analysis,14,9,2,64.29,14.29,,0-40,,,,,,,,,,,
confidence_analysis,1,0,0,0.0,0.0,,40-50,,,,,,,,,,,
confidence_analysis,0,0,0,0.0,0.0,,50-60,,,,,,,,,,,
confidence_analysis,0,0,0,0.0,0.0,,60-70,,,,,,,,,,,
confidence_analysis,0,0,0,0.0,0.0,,70-80,,,,,,,,,,,
confidence_analysis,0,0,0,0.0,0.0,,80+,,,,,,,,,,,
elite_overvaluation_analysis,2,0,0,0.0,0.0,,,Argentina,,,,,,,,,,
elite_overvaluation_analysis,0,0,0,0.0,0.0,,,France,,,,,,,,,,
elite_overvaluation_analysis,0,0,0,0.0,0.0,,,Brazil,,,,,,,,,,
elite_overvaluation_analysis,0,0,0,0.0,0.0,,,England,,,,,,,,,,
elite_overvaluation_analysis,0,0,0,0.0,0.0,,,Germany,,,,,,,,,,
elite_overvaluation_analysis,1,0,0,0.0,0.0,,,Spain,,,,,,,,,,
elite_overvaluation_analysis,0,0,0,0.0,0.0,,,Portugal,,,,,,,,,,
elite_overvaluation_analysis,0,0,0,0.0,0.0,,,Netherlands,,,,,,,,,,
elite_overvaluation_analysis,2,0,1,0.0,50.0,,,Belgium,,,,,,,,,,
conclusion,,,,,,,,,60.0,13.33,Round of 16,0-40,60-70,False,5,0.0,20.0,"Worth separate tracking, but sample is small; do not turn into an automatic betting rule yet."
